mls_number,price,address,above_grade_bedrooms,below_grade_bedrooms,bathrooms,community_name,land_size,annual_prop_tax,postal_code,lat,long
C5934229,"$1,280,000","112 RAMEAU DR
Toronto, Ontario M2H1V4","Above Grade
3","Below Grade
1","Total
2","Community Name
Hillcrest Village","Land Size
60 x 108 FT","Annual Property Taxes
$5,662.12",M2H 1V4,43.8015,-79.3577
W5933893,"$1,049,000","18 PARK BLVD
Toronto, Ontario M8W1G6","Above Grade
2",,"Total
1","Community Name
Long Branch","Land Size
44 x 106 FT","Annual Property Taxes
$4,316.10",M8W 1G6,43.6021,-79.5402
W5933791,"$1,799,000","39 BROADFIELD DR
Toronto, Ontario M9C1L4","Above Grade
3","Below Grade
1","Total
4","Community Name
Markland Wood","Land Size
63.21 x 105.87 FT","Annual Property Taxes
$6,123.43",M9C 1L4,43.6437,-79.5767
W5933713,"$1,659,900","1104 GLENGROVE AVE
Toronto, Ontario M6B2K4","Above Grade
4",,"Total
2","Community Name
Yorkdale-Glen Park","Land Size
35 x 132.75 FT","Annual Property Taxes
$3,899.03",M6B 2K4,43.7081,-79.4479
W5933721,"$1,449,900","18 MADILL ST
Toronto, Ontario M9P2P5","Above Grade
3","Below Grade
2","Total
2","Community Name
Kingsview Village-The Westway","Land Size
50 x 136.58 FT","Annual Property Taxes
$4,189.71",M9P 2P5,43.6949,-79.5323
E5933989,"$1,849,000","15 QUEENSBURY AVE
Toronto, Ontario M1N2X8","Above Grade
4",,"Total
4","Community Name
Birchcliffe-Cliffside","Land Size
25 x 100 FT","Annual Property Taxes
$0",M1N 2X8,43.6952,-79.2646
C5934003,"$5,995,000","161 HUDSON DR
Toronto, Ontario M4T2K4","Above Grade
3","Below Grade
2","Total
5","Community Name
Rosedale-Moore Park","Land Size
101 x 184 FT ; Irregular, Please See Survey.","Annual Property Taxes
$20,430.39",M4T 2K4,43.6899,-79.3853
C5933923,"$1,888,000","98 BOGERT AVE
Toronto, Ontario M2N1K6","Above Grade
3","Below Grade
1","Total
2","Community Name
Lansing-Westgate","Land Size
50 x 110 FT ; Tlab Approved For Two Lots","Annual Property Taxes
$7,115.57",M2N 1K6,43.7673,-79.4111
C5933711,"$3,629,000","442 MERTON ST
Toronto, Ontario M4S1B3","Above Grade
4","Below Grade
2","Total
4","Community Name
Mount Pleasant East","Land Size
25.67 x 176 FT","Annual Property Taxes
$7,343.06",M4S 1B3,43.702,-79.3853
W5933547,"$1,200,000","63 BUNNELL CRES
Toronto, Ontario M3M2B8","Above Grade
3","Below Grade
1","Total
3","Community Name
Downsview-Roding-CFB","Land Size
51 x 121 FT","Annual Property Taxes
$3,804.23",M3M 2B8,43.7319,-79.4928
W5933407,"$1,249,000","46 ELMA ST
Toronto, Ontario M8V1X8","Above Grade
2","Below Grade
2","Total
3","Community Name
Mimico","Land Size
32.17 x 125 FT","Annual Property Taxes
$4,512",M8V 1X8,43.6075,-79.5013
W5933259,"$1,049,999","138 BELGRAVIA AVE W
Toronto, Ontario M6E2M7","Above Grade
2","Below Grade
1","Total
2","Community Name
Briar Hill-Belgravia","Land Size
25 x 110 FT","Annual Property Taxes
$3,625.50",M6E 2M7,43.6889,-79.4507
,,,,,,,,,,,
E5933457,"$999,900","5 BOEM AVE
Toronto, Ontario M1R3S7","Above Grade
3",,"Total
3","Community Name
Wexford-Maryvale","Land Size
45.03 x 127.82 FT","Annual Property Taxes
$3,911.66",M1R 3S7,43.7507,-79.3003
E5933389,"$1,299,000","19 BEXHILL AVE
Toronto, Ontario M1L3B3","Above Grade
3","Below Grade
1","Total
2","Community Name
Clairlea-Birchmount","Land Size
54 x 112 FT","Annual Property Taxes
$4,493.04",M1L 3B3,43.7122,-79.2843
E5933429,"$699,900","299 KENNEDY RD
Toronto, Ontario M1N3P6","Above Grade
2",,"Total
2","Community Name
Birchcliffe-Cliffside","Land Size
40 x 125 FT","Annual Property Taxes
$3,200",M1N 3P6,43.6952,-79.2646
C5933609,"$4,180,000","271 MELROSE AVE
Toronto, Ontario M5M1Z2","Above Grade
4","Below Grade
1","Total
5","Community Name
Lawrence Park North","Land Size
25 x 150 FT","Annual Property Taxes
$12,771.37",M5M 1Z2,43.7335,-79.4177
C5933557,"$850,000","14 REGATTA CRES
Toronto, Ontario M2R2X8","Above Grade
4","Below Grade
2","Total
3","Community Name
Newtonbrook West","Land Size
36 x 104.5 FT","Annual Property Taxes
$4,101.25",M2R 2X8,43.7786,-79.445
C5933485,"$2,549,000","81 AVA RD
Toronto, Ontario M6C1V6","Above Grade
4",,"Total
5","Community Name
Humewood-Cedarvale","Land Size
40 x 115 FT","Annual Property Taxes
$8,429.98",M6C 1V6,43.6915,-79.4307
C5933319,"$2,188,000","97 KINGSDALE AVE
Toronto, Ontario M2N3W5","Above Grade
3","Below Grade
1","Total
2","Community Name
Willowdale East","Land Size
44 x 122 FT","Annual Property Taxes
$8,575.34",M2N 3W5,43.7673,-79.4111
C5933345,"$2,095,000","76 AIRDRIE RD
Toronto, Ontario M4G1M2","Above Grade
4",,"Total
2","Community Name
Leaside","Land Size
31.86 x 133 FT ; Irregular Lot- See Survey","Annual Property Taxes
$9,706.49",M4G 1M2,43.7124,-79.3644
C5933347,"$4,700,000","58 SUMNER HEIGHTS DR
Toronto, Ontario M2K1Y4","Above Grade
4","Below Grade
1","Total
7","Community Name
Bayview Village","Land Size
57.23 x 120.45 FT","Annual Property Taxes
$0",M2K 1Y4,43.7797,-79.3813
W5933231,"$1,849,000","7 RIDLEY GDNS
Toronto, Ontario M6R2T7","Above Grade
4",,"Total
3","Community Name
High Park-Swansea","Land Size
17.92 x 70.5 FT","Annual Property Taxes
$6,452.04",M6R 2T7,43.6469,-79.4521
W5933243,"$599,900","195 GARY DR
Toronto, Ontario M9N2M5","Above Grade
3","Below Grade
1","Total
2","Community Name
Humberlea-Pelmo Park W4","Land Size
65 x 82 FT ; Corner Lot","Annual Property Taxes
$3,347",M9N 2M5,43.7068,-79.517
W5933137,"$1,099,900","28 BLACKSMITH CRES
Toronto, Ontario M3N1V4","Above Grade
4",,"Total
2","Community Name
Black Creek","Land Size
50 x 120 FT","Annual Property Taxes
$3,665.21",M3N 1V4,43.7568,-79.521
W5932951,"$3,700,000","62 EDENVALE CRES
Toronto, Ontario M9A4A6","Above Grade
4","Below Grade
1","Total
5","Community Name
Edenbridge-Humber Valley","Land Size
75 x 150 FT","Annual Property Taxes
$6,800.58",M9A 4A6,43.6662,-79.5282
W5932869,"$995,000","202 RICHARD CLARK DR
Toronto, Ontario M3M1V8","Above Grade
2",,"Total
2","Community Name
Downsview-Roding-CFB","Land Size
50 x 120 FT","Annual Property Taxes
$3,653",M3M 1V8,43.7319,-79.4928
W5932911,"$1,749,900","62 ELLINS AVE
Toronto, Ontario M6N2A7","Above Grade
4","Below Grade
1","Total
4","Community Name
Rockcliffe-Smythe","Land Size
49.42 x 120 FT","Annual Property Taxes
$6,489.95",M6N 2A7,43.6748,-79.4839
W5932815,"$1,449,000","199 HUMBERSIDE AVE
Toronto, Ontario M6P1K7","Above Grade
5",,"Total
1","Community Name
High Park North","Land Size
27.5 x 103 FT","Annual Property Taxes
$6,378.98",M6P 1K7,43.6605,-79.4633
E5933233,"$1,299,000","69 NORTH WOODROW BLVD
Toronto, Ontario M1K1W5","Above Grade
4","Below Grade
1","Total
3","Community Name
Clairlea-Birchmount","Land Size
40 x 108 FT","Annual Property Taxes
$4,000.14",M1K 1W5,43.7298,-79.2639
E5933003,"$1,629,000","24 DUART PARK RD
Toronto, Ontario M4E1J2","Above Grade
2","Below Grade
1","Total
2","Community Name
The Beaches","Land Size
29 x 83.45 FT","Annual Property Taxes
$6,925.99",M4E 1J2,43.6784,-79.2941
E5933033,"$2,249,000","14 BRINLOOR BLVD
Toronto, Ontario M1M1L2","Above Grade
3","Below Grade
1","Total
5","Community Name
Scarborough Village","Land Size
72.17 x 189 FT ; 180.21 Ft X 90.10 Ft X 203.60 Ft X 72.17","Annual Property Taxes
$5,959.14",M1M 1L2,43.7247,-79.2312
E5932927,"$1,899,900","163 NEVILLE PARK BLVD
Toronto, Ontario M4E3P7","Above Grade
4",,"Total
4","Community Name
The Beaches","Land Size
30 x 137 FT","Annual Property Taxes
$8,897.61",M4E 3P7,43.6784,-79.2941
E5932917,"$2,699,000","78 EATON AVE
Toronto, Ontario M4J2Z5","Above Grade
4","Below Grade
1","Total
5","Community Name
Danforth","Land Size
20 x 124.5 FT","Annual Property Taxes
$5,440.95",M4J 2Z5,43.6872,-79.3368
C5933143,"$3,480,000","186 HILLHURST BLVD
Toronto, Ontario M5N1P2","Above Grade
4",,"Total
4","Community Name
Lawrence Park South","Land Size
50 x 134 FT ; No","Annual Property Taxes
$13,750.86",M5N 1P2,43.7113,-79.4195
C5933173,"$2,380,000","58 SUMNER HEIGHTS DR
Toronto, Ontario M2K1Y4","Above Grade
3","Below Grade
2","Total
3","Community Name
Bayview Village","Land Size
57.23 x 120.45 FT","Annual Property Taxes
$9,712.81",M2K 1Y4,43.7797,-79.3813
C5933071,"$999,000","210 ATLAS AVE
Toronto, Ontario M6C3P7","Above Grade
2",,"Total
2","Community Name
Humewood-Cedarvale","Land Size
25 x 139 FT","Annual Property Taxes
$4,088.61",M6C 3P7,43.6915,-79.4307
C5933057,"$1,499,000","72 STORMONT AVE
Toronto, Ontario M5N2C2","Above Grade
3","Below Grade
4","Total
3","Community Name
Bedford Park-Nortown","Land Size
50 x 117 FT","Annual Property Taxes
$6,700",M5N 2C2,43.7113,-79.4195
C5933027,"$1,649,900","333 DAVISVILLE AVE
Toronto, Ontario M4S1H1","Above Grade
3","Below Grade
1","Total
2","Community Name
Mount Pleasant East","Land Size
20 x 144 FT","Annual Property Taxes
$5,807.47",M4S 1H1,43.702,-79.3853
C5932909,"$6,595,000","47 DE VERE GDNS
Toronto, Ontario M5M3E9","Above Grade
4","Below Grade
1","Total
6","Community Name
Bedford Park-Nortown","Land Size
50.21 x 139.47 FT","Annual Property Taxes
$22,971",M5M 3E9,43.7335,-79.4177
40380928,"$995,000","202 RICHARD CLARK Drive
Toronto, Ontario M3M1V8","Above Grade
2",,"Total
2",,"Land Size
under 1/2 acre",,M3M 1V8,43.7319,-79.4928
W5932793,"$1,079,000","60 MASSEYGROVE CRES
Toronto, Ontario M9V3C9","Above Grade
3","Below Grade
1","Total
2","Community Name
Mount Olive-Silverstone-Jamestown","Land Size
50.06 x 110.14 FT","Annual Property Taxes
$3,244.48",M9V 3C9,43.7432,-79.5876
W5932719,"$1,199,000","811 DOVERCOURT RD
Toronto, Ontario M6H2X4","Above Grade
3",,"Total
3","Community Name
Dovercourt-Wallace Emerson-Junction","Land Size
14.08 x 120 FT","Annual Property Taxes
$4,380.97",M6H 2X4,43.6655,-79.4378
